,Name,code,Team,Chance of playing next round
7,Bernd Leno,80201,1,100.0
24,Mathew Ryan,131897,1,100.0
29,Matt Macey,113534,1,0.0
30,Rúnar Alex Rúnarsson,115918,1,75.0
33,Emiliano Martínez,98980,2,
34,Tom Heaton,21205,2,100.0
38,Jed Steer,79852,2,
41,Ørjan Nyland,98770,2,0.0
92,Christian Walton,108813,3,100.0
93,Jason Steele,49262,3,
97,Robert Sánchez,215059,3,
104,Thomas McGill,209288,3,
123,Nick Pope,98747,4,100.0
126,Bailey Peacock-Farrell,220037,4,100.0
133,Will Norris,168399,4,
139,Willy Caballero,20310,5,
148,Kepa Arrizabalaga,109745,5,100.0
163,Edouard Mendy,228286,5,100.0
164,Karlo Ziger,431019,5,
168,Wayne Hennessey,20066,6,75.0
170,Vicente Guaita,40836,6,
195,Stephen Henderson,42525,6,
196,Jack Butland,105666,6,100.0
200,Jonas Lössl,57513,7,0.0
206,Jordan Pickford,111234,7,100.0
216,João Virgínia,222627,7,
225,Robin Olsen,111782,7,
230,Fabricio Agosto Ramírez,40559,8,
242,Marcus Bettinelli,122074,8,0.0
245,Marek Rodák,155529,8,
255,Alphonse Areola,84182,8,
265,Kasper Schmeichel,17745,9,100.0
271,Danny Ward,95463,9,
296,Francisco Casilla Cortés,39790,10,100.0
310,Kamil Miazek,214987,10,0.0
315,Illan Meslier,437495,10,100.0
320,Elia Caprile,463912,10,
332,Adrián San Miguel del Castillo,60706,11,
339,Alisson Ramses Becker,116535,11,100.0
353,Caoimhin Kelleher,200720,11,100.0
361,Claudio Bravo,33148,12,0.0
372,Ederson Santana de Moraes,121160,12,100.0
384,Zack Steffen,164484,12,
388,James Trafford,432720,12,
389,Scott Carson,17601,12,100.0
394,Sergio Romero,42899,13,0.0
396,David de Gea,51940,13,100.0
409,Dean Henderson,172649,13,
428,Lee Grant,6744,13,
437,Karl Darlow,59735,14,100.0
438,Martin Dubravka,67089,14,100.0
458,Mark Gillespie,81441,14,
464,Daniel Langley,432927,14,
471,Simon Moore,74854,15,0.0
473,Wes Foderingham,82143,15,
485,Aaron Ramsdale,225321,15,
490,Michael Verrips,194126,15,0.0
501,Alex McCarthy,58376,16,100.0
509,Angus Gunn,107265,16,0.0
521,Fraser Forster,40383,16,
527,Harry Lewis,198044,16,
533,Hugo Lloris,37915,17,100.0
543,Paulo Gazzaniga,102884,17,0.0
558,Joe Hart,15749,17,100.0
567,David Button,50093,18,
579,Sam Johnstone,101982,18,
598,Andy Lonergan,11948,18,
603,David Martin,19194,19,
604,Darren Randolph,32259,19,100.0
605,Lukasz Fabianski,37096,19,100.0
607,Roberto Jimenez Gago,40694,19,0.0
633,John Ruddy,19236,20,
635,Rui Pedro dos Santos Patrício,38533,20,
650,Matija Sarkic,216208,20,0.0
668,Andreas Söndergaard,448487,20,
