,ID,Away Team,Away Team Score,Home Team,Home Team Score
0,1,16,0,6,1
1,2,1,3,8,0
2,3,10,3,11,4
3,4,7,1,17,0
4,5,9,3,18,0
5,6,14,2,19,0
6,7,5,3,3,1
7,8,20,2,15,0
8,9,19,1,1,2
9,10,15,0,2,1
10,11,11,2,5,0
11,12,18,2,7,5
12,13,8,3,10,4
13,14,4,2,9,4
14,15,6,3,13,1
15,16,3,3,14,0
16,17,17,5,16,2
17,18,12,3,20,1
18,19,13,3,3,2
19,20,16,1,4,0
20,21,7,2,6,1
21,22,2,3,8,0
22,23,1,1,11,3
23,24,9,5,12,2
24,25,10,1,15,0
25,26,14,1,17,1
26,27,5,3,18,3
27,28,20,0,19,4
28,29,15,1,1,2
29,30,11,2,2,7
30,31,6,0,5,4
31,32,3,2,7,4
32,33,12,1,10,1
33,34,19,3,9,0
34,35,17,6,13,1
35,36,4,1,14,3
36,37,18,0,16,2
37,38,8,0,20,1
38,39,16,3,5,3
39,40,3,1,6,1
40,41,11,2,7,2
41,42,20,1,10,0
42,43,2,1,9,0
43,44,1,0,12,1
44,45,13,4,14,1
45,46,8,1,15,1
46,47,19,3,17,3
47,48,4,0,18,0
48,49,9,1,1,0
49,50,10,3,2,0
50,51,18,1,3,1
51,52,17,1,4,0
52,53,6,2,8,1
53,54,15,1,11,2
54,55,5,0,13,0
55,56,7,0,16,2
56,57,12,1,19,1
57,58,14,1,20,1
58,59,16,4,2,3
59,60,5,3,4,0
60,61,18,0,8,2
61,62,9,4,10,1
62,63,19,1,11,2
63,64,1,1,13,0
64,65,7,1,14,2
65,66,12,1,15,0
66,67,3,1,17,2
67,68,6,0,20,2
68,69,2,3,1,0
69,70,4,0,3,0
70,71,15,1,5,4
71,72,10,1,6,4
72,73,13,3,7,1
73,74,20,0,9,1
74,75,11,1,12,1
75,76,14,0,16,2
76,77,17,1,18,0
77,78,8,0,19,1
78,79,3,2,2,1
79,80,6,0,4,1
80,81,7,3,8,2
81,82,1,0,10,0
82,83,9,0,11,3
83,84,18,0,13,1
84,85,5,2,14,0
85,86,19,1,15,0
86,87,12,0,17,2
87,88,16,1,20,1
88,89,20,2,1,1
89,90,11,1,3,1
90,91,17,0,5,0
91,92,14,2,6,0
92,93,10,1,7,0
93,94,8,2,9,1
94,95,4,0,12,5
95,96,13,3,16,2
96,97,15,0,18,1
97,98,2,1,19,2
98,99,14,0,2,2
99,100,16,2,3,1
100,101,7,1,4,1
101,102,10,1,5,3
102,103,20,0,11,4
103,104,8,0,12,2
104,105,9,2,15,1
105,106,1,0,17,2
106,107,6,5,18,1
107,108,13,3,19,1
108,109,4,1,1,0
109,110,17,1,6,1
110,111,5,0,7,1
111,112,11,1,8,1
112,113,19,2,10,1
113,114,3,0,9,3
114,115,12,0,13,0
115,116,18,1,14,2
116,117,15,0,16,3
117,118,2,1,20,0
118,119,16,1,1,1
119,120,4,0,2,0
120,121,3,0,8,0
121,122,14,2,10,5
122,123,7,2,9,0
123,124,13,3,15,2
124,125,6,1,19,1
125,126,5,1,20,2
126,127,17,1,11,2
127,128,18,1,12,1
128,129,15,1,3,1
129,130,20,1,4,2
130,131,19,0,5,3
131,132,11,7,6,0
132,133,1,1,7,2
133,134,10,2,13,6
134,135,8,1,14,1
135,136,12,1,16,0
136,137,9,2,17,0
137,138,2,3,18,0
138,139,5,1,1,3
139,140,6,0,2,3
140,141,16,0,8,0
141,142,4,0,10,1
142,143,13,2,9,2
143,144,18,1,11,1
144,145,14,0,12,2
145,146,7,1,15,0
146,147,3,2,19,2
147,148,17,1,20,1
148,149,1,1,3,0
149,150,15,0,4,1
150,151,2,1,5,1
151,152,9,1,6,1
152,154,20,0,13,1
153,155,11,0,14,0
154,156,19,0,16,0
155,157,8,1,17,1
156,158,10,5,18,0
157,159,20,3,3,3
158,161,12,3,5,1
159,162,15,0,6,2
160,163,19,1,7,0
161,164,2,1,13,2
162,165,9,2,14,1
163,166,11,0,16,1
164,167,10,0,17,3
165,168,1,4,18,0
166,169,6,0,1,0
167,171,13,2,8,1
168,173,5,0,9,2
169,174,14,0,15,1
170,175,18,1,19,2
171,176,7,2,20,1
172,177,4,1,11,0
173,178,3,0,12,1
174,179,14,0,1,3
175,181,5,1,8,0
176,182,3,1,10,0
177,183,16,0,9,2
178,184,13,0,11,0
179,185,6,0,12,4
180,186,17,3,15,1
181,187,4,0,19,1
182,188,18,3,20,2
183,189,8,0,3,0
184,190,2,2,4,3
185,191,9,1,7,1
186,192,15,2,13,1
187,193,12,5,18,0
188,194,20,0,5,0
189,195,19,3,6,2
190,196,10,2,14,1
191,197,1,3,16,1
192,198,11,3,17,1
193,199,13,0,1,0
194,200,17,0,3,1
195,201,4,0,5,2
196,202,20,0,6,1
197,203,14,2,7,0
198,204,10,3,9,1
199,205,15,0,12,1
200,206,2,1,16,0
201,207,8,2,18,2
202,208,11,3,19,1
203,209,19,3,2,1
204,210,12,2,4,0
205,211,9,2,8,0
206,212,7,2,10,1
207,213,16,0,13,9
208,214,18,1,15,2
209,215,1,1,20,2
210,216,3,1,11,0
211,217,6,2,14,1
212,218,5,1,17,0
213,219,1,0,2,1
214,220,3,1,4,1
215,221,19,0,8,0
216,223,12,4,11,1
217,224,7,3,13,3
218,225,16,2,14,3
219,226,5,2,15,1
220,227,18,0,17,2
221,228,9,0,20,0
222,379,13,1,4,0
223,380,2,0,12,2
